algorithm,training_seed,status,config_sha,source_sha,best_checkpoint,checkpoint_sha
maddpg,1000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed1000\checkpoints\maddpg_seed1000\best.pt,d95487122246af2fb3b14507976cfcffb1276167bc33aa9c49854bf67026ba1e
maddpg,2000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed2000\checkpoints\maddpg_seed2000\best.pt,60f7d46995dda3b1bc02f430883b7e9e0a775bb08280ca40646a3a386a2a04b9
maddpg,3000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed3000\checkpoints\maddpg_seed3000\best.pt,7b7da42ca8ba52a64687d8601f9af8f00d48b7e24277e1e6371cee5aac6db15a
maddpg,4000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed4000\checkpoints\maddpg_seed4000\best.pt,ec923df1e2b89b580445135c36d723419e6e8c6a6e3819320fbf45a40df20038
maddpg,5000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed5000\checkpoints\maddpg_seed5000\best.pt,1016d7b3abab4f76e468573e30e5ad92fdd203a70368e04b39fa98278148e203
maddpg,6000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed6000\checkpoints\maddpg_seed6000\best.pt,06da2b70b61a40e60e3765a2a9f597a1a4e9d442594eab25c71be654b29f5e9b
maddpg,7000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed7000\checkpoints\maddpg_seed7000\best.pt,27d9d0d64e87c00750c2a1a317c16943100e2dd010a5462bd48ff6c8cd253861
maddpg,8000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\maddpg_seed8000\checkpoints\maddpg_seed8000\best.pt,07ab3c9628e5ae3e2d28061651f4d1dc577e40ddf7d1f2b828a337cb6a38d961
td3,1000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\td3_seed1000\checkpoints\td3_seed1000\best.pt,7e820fe304f1bba6402724b6c6755fa8594a1dc52e501c247158f5151238975a
td3,2000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\td3_seed2000\checkpoints\td3_seed2000\best.pt,08c9d264a137296584395da2ecadac4ce87ac4d715008e347ceb29fabf113964
td3,3000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\td3_seed3000\checkpoints\td3_seed3000\best.pt,c5a0d2d49484ccd68c31d7b9429910c0d3c6e3b1b6c265cb2daa0d2d48fcb628
td3,4000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\td3_seed4000\checkpoints\td3_seed4000\best.pt,2504c71ba052f7a902bee70d0652985c345db1560349a8efb7df92a599f80bb3
td3,5000,completed,e2344c9db4f7e14def62c6845a1857362c38e28e9f43bd1a1be3ea9b21dd592f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N128\td3_seed5000\checkpoints\td3_seed5000\best.pt,ac5ea40508e9cc6aecd3114b902e1522a560758f3983abd96faa632d77546dbf
