algorithm,training_seed,status,config_sha,source_sha,best_checkpoint,checkpoint_sha
maddpg,1000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed1000\checkpoints\maddpg_seed1000\best.pt,0b58b44808d8a0dc5980022efb26a51d4f6be9d4820897b87bf0f0c256e78c95
maddpg,2000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed2000\checkpoints\maddpg_seed2000\best.pt,28a18e00f0155732e6bcc40d7c55a309fb562fe06029efbea5f9c3dfabb8bd36
maddpg,3000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed3000\checkpoints\maddpg_seed3000\best.pt,2e0813b405883dc78f5db1a2324c71965c687d192187fb316980e201776d8cb6
maddpg,4000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed4000\checkpoints\maddpg_seed4000\best.pt,3a87639730dd893a821a64e186b89be51adab17929d32822dba33eb484fe047e
maddpg,5000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed5000\checkpoints\maddpg_seed5000\best.pt,2bd5fbdd54f4aad8d50ac4a5472f821dc41783f41ee5fef09dfebb43330f0365
maddpg,6000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed6000\checkpoints\maddpg_seed6000\best.pt,ef7fb6b1ed66127d6370e986e6b13a61f0201e022fb0746a71701eb06361ea6d
maddpg,7000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed7000\checkpoints\maddpg_seed7000\best.pt,53657fbf17c9ffef7811b77f23d4b976796dbc6c81152fe4a0cbeb48828c6c23
maddpg,8000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\maddpg_seed8000\checkpoints\maddpg_seed8000\best.pt,5fc077d4fa91c3aa009dbe805f5a558728243bdc61dc9159215aff62b26c49ef
td3,1000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\td3_seed1000\checkpoints\td3_seed1000\best.pt,5a9cd3fe4b99c6a9fb293adf7ea560612fff9d9091d132c7d541ef92908f84e6
td3,2000,completed,c224e41f4dc7c954df4cd6547c1dc2e064bed3c5ac4d8b32d9033b3dc22f8b3f,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N16\td3_seed2000\checkpoints\td3_seed2000\best.pt,153ff4e3c62cb2e368167de277fe08f1f3da0ba89d497784ab4aafc08dc71222
