algorithm,training_seed,status,config_sha,source_sha,best_checkpoint,checkpoint_sha
maddpg,1000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed1000\checkpoints\maddpg_seed1000\best.pt,0972341fcec0a61127549d472d3c245adad0c0b25c7da9d6aa0ab3e9f31ac85b
maddpg,2000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed2000\checkpoints\maddpg_seed2000\best.pt,c486cefaf49a706d30c20cb0c55a279150df889671469f55736b5978f104cb5a
maddpg,3000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed3000\checkpoints\maddpg_seed3000\best.pt,bab20798795c4d5113e15cd6cd5c80676303ee04d726f8d097091912976ebba3
maddpg,4000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed4000\checkpoints\maddpg_seed4000\best.pt,4ea2706f4235a1ae1342e0bc033b9cb84beef679f33d6b31a804bb81738fe7b1
maddpg,5000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed5000\checkpoints\maddpg_seed5000\best.pt,164714925720e7e94055a97bb3f8dbbea62d100219db8c69b2f97e313168467e
maddpg,6000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed6000\checkpoints\maddpg_seed6000\best.pt,579858f4a285e5ea30e5817af8f3bfe81b0590a31e7882abef750836a2e2b45e
maddpg,7000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed7000\checkpoints\maddpg_seed7000\best.pt,23174c48e5b0497981add849ad4279599efc674b8d2f67ba714a77afb9a66021
maddpg,8000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\maddpg_seed8000\checkpoints\maddpg_seed8000\best.pt,75defdd7da4fb916dd3c6adb9ff6b6a9df6d3e8547a8a9c7eb13a550e9cac9f2
td3,1000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\td3_seed1000\checkpoints\td3_seed1000\best.pt,9c3c08c8d988f8a95223cd20a8c077032126e0676b852597a4817eb96fe4c30e
td3,2000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\td3_seed2000\checkpoints\td3_seed2000\best.pt,32163bc5a27d28a35110b7fcfd86d566051b74288dbb4265ef47d37b9b11ac34
td3,3000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\td3_seed3000\checkpoints\td3_seed3000\best.pt,8c6cc13a94a962e610ca05ea179472cfbfe6fc4de07729bbccd9ec1286ce3e95
td3,4000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\td3_seed4000\checkpoints\td3_seed4000\best.pt,6eb6706ad3c27256f27315968c99331d4307a8cab48c0e23a57bba7a44b04f76
td3,5000,completed,391d2df02e37e6529367dc64687a44455631494862cf23a1b408b3433e6ec7cb,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N96\td3_seed5000\checkpoints\td3_seed5000\best.pt,694f0df4cf9cd9c6ad058a95b2aee04f94b1a35433098e93ce8541568c4bb5cf
