algorithm,training_seed,status,config_sha,source_sha,best_checkpoint,checkpoint_sha
maddpg,1000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed1000\checkpoints\maddpg_seed1000\best.pt,b5851152a2329ad8c651fa36780fd684e37d5f0901a1bd23fd7d2dc528a78029
maddpg,2000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed2000\checkpoints\maddpg_seed2000\best.pt,8ffc27b4bb40db7b1425c51dcf03975511dfb17fb674ed527bdb208f2d37f7a4
maddpg,3000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed3000\checkpoints\maddpg_seed3000\best.pt,37fffd62bbbc7ac5bcbe9cc933a83a040fedb85cb995e5b23d30a5a6d8ce0fd4
maddpg,4000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed4000\checkpoints\maddpg_seed4000\best.pt,0523625bab3fa9f282b2f527910c073598f3e0c2dfb69de7ec9bceb2a6ba9c7f
maddpg,5000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed5000\checkpoints\maddpg_seed5000\best.pt,2ba564afd8b114f0e784ce5f1ad2af2e05fcafe8eb4dbe65e90bce3365e2aab3
maddpg,6000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed6000\checkpoints\maddpg_seed6000\best.pt,4d681a533cf874a1b42901d7b38f5e060f49df8ee24b3b2e4ce5126aaa2468bd
maddpg,7000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed7000\checkpoints\maddpg_seed7000\best.pt,da4c94bb2f32689eed9e4a9c7f8d84f8cec3d5ae1aaf3d775e41abb8c47a0a35
maddpg,8000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\maddpg_seed8000\checkpoints\maddpg_seed8000\best.pt,5486444624a4c2a4e2956d9140123263e8e325ef272ad4980dcbd908b2b93f15
td3,1000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed1000\checkpoints\td3_seed1000\best.pt,2a5e011f74240d304a63515280d0dea33e56b7f6f696981c03e7409eb48601af
td3,2000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed2000\checkpoints\td3_seed2000\best.pt,35974d9e9e25216586dd33e69156ba0e5421010194431c3bfc32e7c64a6dbf46
td3,3000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed3000\checkpoints\td3_seed3000\best.pt,c7439f204e2411c638fb18ffc823d1058218a358e0b99ec595bf5623951988e5
td3,4000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed4000\checkpoints\td3_seed4000\best.pt,fd647d190715ba6518fd6092bd1e26b8c4dadcfc9a0da07ce56f380b2740ff92
td3,5000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed5000\checkpoints\td3_seed5000\best.pt,eb09a8c69fc5debb0a4e65349849e74fc39224401881da8fa950e91222927641
td3,6000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed6000\checkpoints\td3_seed6000\best.pt,01b2ab40a937c686a84bf13e97637f689f5f7db7815c465e9b07c4b42ae3296d
td3,7000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed7000\checkpoints\td3_seed7000\best.pt,bd8c6e278574bbf4e2cf96676c2cf29a3652aaf16da7b067a0ec8ee665c69bbd
td3,8000,completed,2372b50b46950e8c97e11a87d8168be97fcd779eef7562b3089b8f548abee6ee,b83e69767f2d995ba2d8b15e004d9d0233c08baa6c03b30e321428e6b8944201,C:\Users\ADMIN\Documents\STAR_RIS_RSMA_MADDPG_FROZEN_v14-main\results_revised\shards\scalability_cpu_v1_N64\td3_seed8000\checkpoints\td3_seed8000\best.pt,fcff10b0e6e2abf977e49928e3b6fe61ef07bea576f6e814e31948240dcf1044
