Pmax_dBm,MADDPG_sr_mean,DDPG_sr_mean,TD3_sr_mean,TD3-Matched_sr_mean,PPO_sr_mean,MADDPG_sr_ci,DDPG_sr_ci,TD3_sr_ci,TD3-Matched_sr_ci,PPO_sr_ci,MADDPG_uqf_mean,DDPG_uqf_mean,TD3_uqf_mean,TD3-Matched_uqf_mean,PPO_uqf_mean
10,1.122938754289383,1.1389326755858542,1.09285938361697,0.9804052846002964,1.1441159161134606,0.46592628656083934,0.2868219424804644,0.16705483960686573,0.20215210603159234,0.09839238129918687,0.16333750000000002,0.20823750000000002,0.187975,0.1700875,0.28463750000000004
15,1.875479124437054,1.7845563773856856,1.8412979278431831,1.7098741356709501,1.7895802352944767,0.5695126163379342,0.33306635018180913,0.20784673718831462,0.24075811876398917,0.08108324491039448,0.40705,0.41177500000000006,0.4444125,0.4599875,0.50665
20,2.7883580629928115,2.536545744095264,2.7404458750172047,2.6313664945646504,2.4794234081712823,0.5441655585267716,0.32411550752524637,0.19960263048496074,0.2182389326322294,0.05131294065471829,0.6264624999999999,0.60485,0.653625,0.6859625,0.6663250000000001
25,3.732106112075273,3.308210300633691,3.6559159745267102,3.60590025689154,3.059443976491319,0.39205721976921937,0.3060800436224022,0.13963348401303177,0.1399320488488977,0.10877114920438932,0.7488875,0.703,0.7503375000000001,0.7880624999999999,0.7372374999999999
30,4.520867988075249,3.942933846415169,4.392421261406746,4.411664588518792,3.4159561032821837,0.1948368241588049,0.3644076815590978,0.05837157347880678,0.05548474719973489,0.18126862272711097,0.8384375,0.7488999999999999,0.794975,0.8385875,0.7659875
35,5.025212413751755,4.33734750380717,4.8438896915953595,4.9133489363936755,3.5862353822250004,0.05508356508408104,0.46446263474043525,0.03059716510139,0.0732559712214362,0.22337559142531924,0.8870125,0.7752875,0.829575,0.8756999999999999,0.777025
