Algorithm,SumRate,SumRate_CI,UserQoSFraction,UserQoSFraction_CI,AllUsersQoSProb,AllUsersQoSProb_CI,MaxExpViolation,MaxExpViolation_CI,MeanExpViolation,MinUserRate,RateCommon,P_c/Pmax,N_train_seeds
MADDPG,4.520867988075249,0.1948368241588049,0.8384375,0.13593304957144925,0.6131,0.283192431523602,-0.15772735954362443,0.09541482176973175,0.0,0.320484372054774,2.235161757589638,0.792188617581129,8
DDPG,3.942933846415169,0.3644076815590978,0.7488999999999999,0.11903163380311678,0.40269999999999995,0.2648747963455699,-0.2515978288628281,0.07083163078796313,0.0,0.2647489468603197,1.7611225205714889,0.6808387117111356,8
TD3,4.392421261406746,0.05837157347880678,0.794975,0.06169574458725935,0.44485,0.132480227548134,-0.3458169221777837,0.19003479328490586,0.0,0.2962418072973914,2.244146381361701,0.8099672510966658,8
TD3-Matched,4.411664588518792,0.05548474719973489,0.8385875,0.07207360625438988,0.55305,0.1526523753097388,-0.30228916606060663,0.1381981781663884,0.0008193409969815928,0.3316169403343283,2.4511767850009845,0.8428965133056044,8
PPO,3.4159561032821837,0.18126862272711097,0.7659875,0.05968880429894566,0.3909,0.11835911130342151,-0.19945808533333087,0.0654123190454451,0.0,0.2778392853086704,1.484908062440438,0.5929890716913389,8
