Method,mean_ms,median_ms,std_ms,p95_ms,n_calls
MADDPG,0.6044213499699254,0.589600000239443,0.04297804263492488,0.6762049975804985,2000
DDPG,0.25272545001826074,0.24619999749120325,0.027241151775826287,0.2706000013859011,2000
TD3,0.25088809995031625,0.24330000087502412,0.01968983595293665,0.27500499854795635,2000
TD3-Matched,0.26543519996448595,0.2583999994385522,0.020026886939612725,0.2886999975089566,2000
PPO,0.49246284998662304,0.48160000005736947,0.03389986704020761,0.5443050007670536,2000
AnalyticalRIS,0.022948149939111318,0.023750000764266588,0.0035256299909846153,0.02479999966453761,2000
AO-Grid,13.969809999980498,13.809599999149214,0.5566403881919111,15.102659998410672,20
