Cell,SumRate_mean,SumRate_CI95,UserQoSFraction,AllUsersQoSProb,CI_unit,N_units,RateCommon,|h_eff_T|,P_c/Pmax
Learned,4.520867988075249,0.1948368241588049,0.8384375,0.6131,training_seed,8,2.235161757589638,5.3822431061324135e-06,0.792188617581129
AO-Grid,5.172177796225883,0.07862491129952885,1.0,1.0,scenario,50,3.727238749807548,9.331935056834339e-06,0.9500000000000003
AnalyticalRIS,4.817720069418401,0.1230597265026439,0.8867375,0.7115,training_seed,8,2.5420954656029,7.60495094982358e-06,0.8020152210563422
FixedRIS,3.0218123294645984,0.7379814641701506,0.6497375000000001,0.24359999999999998,training_seed,8,0.8345563123260412,1.6322337122384191e-06,0.7849360792681574
RandomRIS,3.058575496992871,0.7393753549557185,0.65015,0.24895,training_seed,8,0.8536703109475888,1.673702697224882e-06,0.7825410284221173
NoRIS,2.6467999275044867,0.8505161259519967,0.5925874999999999,0.11595,training_seed,8,0.46423435207880287,1.0013524487246093e-06,0.7833557545810939
EqualPower+Learned,1.9022899253189736,0.011132063201714715,0.9995125,0.99805,training_seed,8,0.293061904314489,5.431867626715239e-06,0.19999999999999993
EqualPower+Fixed,1.5654598865463394,0.022602475250537348,0.8186000000000001,0.28,scenario,50,0.15311702854702117,1.6322337122384191e-06,0.19999999999999993
