Comparison,Metric,diff_mean,diff_CI95,p_paired_t,p_permutation,cohens_d_paired,n_seeds,p_holm,significant_5pct_holm
MADDPG vs TD3,sum_rate,0.12844672666850376,0.23864952930184624,0.24369730588376906,0.265625,0.450037403811619,8,0.4517457562451923,False
MADDPG vs TD3-Matched,sum_rate,0.10920339955645764,0.1944920247086093,0.22587287812259615,0.2265625,0.46948369341408736,8,0.4517457562451923,False
MADDPG vs DDPG,sum_rate,0.5779341416600803,0.4907754237071345,0.027102180988391355,0.015625,0.9846495714678036,8,0.08130654296517406,False
MADDPG vs PPO,sum_rate,1.1049118847930657,0.16393642036764575,9.282405842096793e-07,0.0078125,5.635576490799963,8,3.7129623368387172e-06,True
