N,MADDPG,MADDPG_CI,TD3,TD3_CI,n_pairs,p_paired_t,p_holm,significant_5pct
16,4.194079797653073,0.09236416093426847,4.069085248047535,0.11251990341623093,8,0.10684356896119564,0.5342178448059782,False
32,4.538433627452589,0.18831023507060277,4.414800138798412,0.06463703860936038,8,0.2643228064440236,1.0,False
64,4.990053837556173,0.019734324185837458,4.978478107804347,0.03978067409915432,8,0.5535629760071257,1.0,False
96,5.2238328871600945,0.012336142233245565,5.209326403357176,0.02435086127970045,8,0.32455837079286676,1.0,False
128,5.320344248753795,0.007007339145328895,5.320845838888174,0.010063618389686136,8,0.8803692011869574,1.0,False
